SIDN,District,HS,NumStudents,NumExams,NumPass,PerctPass
0160001,Abbeville,Abbeville High,4,4,NA,NA
0160003,Abbeville,Dixie High,9,9,5,0.5556
0201001,Aiken,Silver Bluff High,138,205,22,0.1073
0201002,Aiken,Aiken High,102,158,56,0.3544
0201003,Aiken,South Aiken High,454,769,266,0.3459
0201006,Aiken,Midland Valley High,162,190,24,0.1263
0201007,Aiken,Paul Knox Middle,20,24,12,0.5
0201010,Aiken,New Ellenton STEAM Magnet Middle,1,1,NA,NA
0201011,Aiken,North Augusta Middle,3,3,NA,NA
0201012,Aiken,North Augusta High,432,739,324,0.4384
0201015,Aiken,Wagener-Sally High,23,25,NA,NA
0201017,Aiken,M. B. Kennedy Middle,2,2,NA,NA
0201060,Aiken,Ridge Spring-Monetta  High,25,32,NA,NA
0201061,Aiken,Aiken Scholars Academy,97,275,230,0.8364
0301001,Allendale,Allendale Fairfax High,15,15,NA,NA
0401001,Anderson 1,Palmetto High,92,139,43,0.3094
0401002,Anderson 1,Powdersville High,163,265,174,0.6566
0401003,Anderson 1,Wren High,169,225,143,0.6356
0401008,Anderson 1,Wren Middle,1,1,NA,NA
0401012,Anderson 1,Palmetto Middle,1,1,NA,NA
0402012,Anderson 2,Belton Honea Path High,63,87,44,0.5057
0403022,Anderson 3,Crescent High,82,102,49,0.4804
0403025,Anderson 3,Starr-Iva Middle,1,1,NA,NA
0404027,Anderson 4,Pendleton High,115,169,110,0.6509
0404029,Anderson 4,Riverside Middle,3,6,6,1
0405038,Anderson 5,T. L. Hanna High,301,450,350,0.7778
0405048,Anderson 5,Westside High,89,124,53,0.4274
0480996,Anderson 80,Career and Technology Center of Anderson 1 & 2,1,1,NA,NA
0502007,Bamberg 2,Denmark Olar High,1,1,NA,NA
0619001,Barnwell 19,Blackville-Hilda High,3,3,NA,NA
0645009,Barnwell 45,Barnwell High,17,17,8,0.4706
0701001,Beaufort,Lady's Island Middle,1,1,NA,NA
0701002,Beaufort,Beaufort High,245,433,262,0.6051
0701003,Beaufort,Hilton Head Island High,162,219,114,0.5205
0701004,Beaufort,Battery Creek High,42,43,18,0.4186
0701009,Beaufort,Hilton Head Island Middle,8,11,8,0.7273
0701026,Beaufort,H. E. McCracken Middle,3,3,NA,NA
0701028,Beaufort,Beaufort Middle,1,1,NA,NA
0701030,Beaufort,Bluffton High,283,486,309,0.6358
0701035,Beaufort,Bluffton Middle,3,3,NA,NA
0701038,Beaufort,River Ridge Academy,3,3,NA,NA
0701039,Beaufort,May River High,224,395,265,0.6709
